date,merchant,amount
3/12/2022,POS GOOGLE INC,$483.84
2/15/2023,GOOGLE (ON+LINE) ,USD 1681.63
2022-12-24,()  UBER-CAR  WASH  PRO,"2,422.98"
Jul 4th 20,POS nEtFLix.com [AUTO],USD48.45
6/21/2022,#Sushi  House  LTD,103.81 
Jul 17 2022, UUER-gOogle *SErvices,$ 1279.34
01-03-22,Starbu()cks Cofee,$ 782.22
2021-06-17,SQ*Amzn,USD1952.06
12/25/2022,POS GYM EMBERSHIP [AUTO],$1128.18
2023-11-09,  UBER-Target  INC  .*UBR,$ 1756.93
29 Mar 2022,[TRIP] TARGET *PMT,$ 2364.67
2024-01-16,#dOoRDaSH [TRIP],$ 1813.34
May 12 2024,APPLE.COM/BILL INC,1158.92 USD
4/11/2023,SQ*uber  *trip.COM,$ 2010.13
Sep 27 2023,OLIVE GARDEN.COM,$531.49 
2023-02-25,ACH  Olive  Garden,$557.31
11-3-23,SQ*SuShi housE (ONLINE),1150.33
11-8-24,PAYPAL*MACY'S.COM ,2270.25USD 
11-08-24,#AMAZON MARKETPLACE [],"1,205.83USD"
12/01/2021,netflix LTD,2093.67
11/15/2020,()  AC  Shell  Gas,$636.13 
Jan 15th 21,SQ*gOOgLE *sERViceS ,$28.42
